#_RAJ2000	_DECJ2000	SpeakTot	Sdensity	Maj	Min	PA	flag
174.847071	48.042049	4.732246e+00	1.380066e-03	34.802	16.470	-159.0	1
173.619885	48.758411	4.693402e+00	8.148267e-03	7.365	3.550	148.8	1
174.865725	47.799825	4.609477e+00	5.706564e-03	7.481	6.210	113.7	1
174.362807	48.354494	4.545870e+00	7.039675e-03	8.537	3.395	151.4	1
174.407168	47.459828	4.458158e+00	9.047505e-03	7.121	3.145	157.0	1
173.612926	48.765120	4.331103e+00	5.361935e-03	8.797	5.071	109.3	1
173.524448	48.651469	4.320596e+00	9.847512e-03	5.039	3.495	92.9	1
174.205547	47.904864	4.267660e+00	2.940679e-03	19.193	8.402	51.2	1
174.169696	48.092605	4.227106e+00	4.708556e-03	8.450	7.192	162.8	1
174.137910	47.256865	4.178048e+00	7.487541e-03	5.445	4.177	-135.8	1
174.705957	47.262815	4.163717e+00	1.241974e-02	9.263	2.594	-179.3	0
174.412328	47.610357	4.108704e+00	9.510889e-03	3.952	3.612	161.0	1
173.428310	48.157323	4.108500e+00	1.120245e-02	4.551	2.926	165.9	0
173.546826	47.968504	4.104500e+00	2.806495e-02	2.844	2.719	60.4	1
174.549473	47.270319	4.068191e+00	3.930620e-02	3.440	1.972	45.1	1
174.869248	47.359735	3.940361e+00	1.606671e-02	3.320	3.174	64.4	0
173.719441	47.769222	3.926000e+00	3.292243e-03	11.797	7.448	101.1	1
173.609116	48.681022	3.846332e+00	1.117308e-02	5.213	2.923	172.6	0
174.601044	47.514004	3.840828e+00	9.644264e-03	4.203	3.252	57.4	1
174.798082	47.941749	3.825592e+00	4.722953e-03	7.386	4.809	170.9	1
173.674574	48.514700	3.818993e+00	1.047735e-02	3.995	3.487	-152.6	0
173.763067	48.436599	3.709713e+00	2.258577e-02	5.777	1.949	150.6	1
174.328875	47.316521	3.688769e+00	6.719069e-03	5.426	4.392	88.2	1
173.779977	47.575226	3.685459e+00	6.999922e-03	8.583	3.417	-179.5	1
173.505791	48.181281	3.653934e+00	5.599898e-02	2.517	1.790	67.2	0
174.546663	47.537237	3.652657e+00	6.736113e-03	6.225	3.793	45.1	1
174.412474	46.953956	3.625872e+00	3.721705e-03	10.727	5.790	143.1	1
173.968813	48.074105	3.611923e+00	1.077382e-02	5.470	3.249	73.0	0
174.133751	47.882918	3.528469e+00	6.031571e-03	7.400	4.056	-158.9	1
174.353118	48.440158	3.515976e+00	3.887204e-03	10.233	6.187	131.9	1
174.604971	48.291053	3.491609e+00	3.287768e-03	9.215	7.101	121.8	1
173.582214	48.858791	3.469278e+00	1.760161e-03	23.638	10.746	156.9	1
173.439767	48.314877	3.446232e+00	8.702606e-03	4.213	3.584	-158.3	1
174.106359	48.106406	3.418450e+00	6.577105e-03	5.579	4.789	-139.8	1
173.457701	48.014530	3.379990e+00	5.711855e-03	7.112	3.849	167.0	1
173.989953	48.549861	3.350392e+00	8.226869e-03	4.442	3.799	158.0	1
174.073710	47.272490	3.340093e+00	5.776209e-03	7.635	3.884	138.1	1
174.966829	47.590243	3.320896e+00	5.466496e-03	8.223	4.009	131.6	1
174.046362	48.268984	3.276203e+00	7.623509e-03	4.915	4.048	-172.8	1
173.548595	48.681901	3.271403e+00	1.118428e-02	3.400	3.176	148.7	0
174.149257	47.240594	3.240420e+00	7.129636e-03	5.618	3.645	-177.9	1
174.536274	48.429104	3.215220e+00	3.161474e-03	9.996	7.625	-165.3	1
173.332394	48.376230	3.211638e+00	5.061683e-03	12.214	3.557	152.3	1
173.430527	48.235982	3.203765e+00	3.456057e-03	23.116	5.784	146.9	1
174.469540	47.422785	3.176883e+00	6.192754e-03	5.614	4.302	60.1	1
173.705914	48.350182	3.172401e+00	5.183661e-03	9.854	4.424	133.0	1
173.719512	48.267585	3.168185e+00	4.069602e-03	9.424	5.238	165.2	1
173.893496	47.455551	3.158708e+00	6.267278e-03	6.387	3.844	166.5	1
174.720746	47.295295	3.155788e+00	4.263137e-03	25.298	5.441	86.7	1
173.451178	48.579139	3.135214e+00	5.085506e-03	9.128	4.571	164.0	1
173.820448	48.015949	3.104768e+00	6.602378e-03	5.834	3.642	158.0	1
173.014894	48.077133	3.097290e+00	6.618140e-03	6.832	3.571	146.4	1
174.964944	47.746566	3.039162e+00	9.315439e-03	3.667	3.142	161.0	1
174.416125	47.077123	3.011672e+00	8.580263e-03	4.000	3.234	80.3	1
173.374662	48.329010	3.009994e+00	9.420950e-03	4.212	2.973	-165.9	1
174.019295	48.556499	2.990314e+00	4.598714e-03	10.641	4.449	176.8	1
173.175015	48.039491	2.979244e+00	6.130131e-03	6.919	3.449	140.7	1
173.871880	48.751258	2.961788e+00	8.834564e-03	4.150	3.078	-163.2	1
173.606953	48.655960	2.960304e+00	3.644572e-03	13.696	6.776	-168.9	1
174.286935	48.167872	2.946837e+00	5.389733e-03	6.828	4.344	175.1	1
173.818873	47.961005	2.863229e+00	6.697611e-03	4.418	3.865	-179.0	1
173.683214	48.417556	2.861936e+00	7.999820e-03	4.300	3.484	171.1	1
173.093324	48.085392	2.833238e+00	7.821222e-03	4.629	3.325	-145.2	1
173.193516	48.004726	2.817704e+00	6.079188e-03	7.304	3.222	-167.0	1
174.335884	47.700803	2.805325e+00	6.776149e-03	5.446	3.352	-150.2	1
173.718880	48.228055	2.778877e+00	7.180561e-03	4.823	3.544	-138.0	1
174.510725	48.131123	2.772551e+00	6.255049e-03	5.045	3.924	146.7	1
174.139730	48.735788	2.699904e+00	6.382751e-03	5.089	3.937	-147.4	1
174.857142	47.322468	2.683420e+00	6.310217e-03	6.904	4.219	128.6	1
173.864850	48.608623	2.662759e+00	6.686148e-03	4.362	3.798	94.1	1
173.361553	48.362187	2.659440e+00	6.993925e-03	4.280	3.624	-141.0	1
173.644402	48.662206	2.657164e+00	8.033752e-03	4.317	3.279	152.2	1
174.867665	47.373711	2.622935e+00	1.050224e-02	5.273	3.765	-155.3	0
174.351822	48.426351	2.614762e+00	5.781673e-03	6.073	3.655	159.4	1
174.739984	47.015365	2.613577e+00	1.335161e-02	3.199	2.749	-166.5	0
174.110390	47.551652	2.610417e+00	7.074301e-03	4.188	3.881	169.7	1
172.997369	48.051403	2.601191e+00	5.667083e-03	6.336	3.917	131.6	1
